Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
2172;1;4;4;1;0;0.41379757682987517
2171;3;3;3;-1;-2;-1.0357954613911637
2170;0;5;5;2;1;1.0370971417818637
2169;2;4;4;0;-1;-0.41535959331067573
2168;1;4;4;1;0;0.41588039436221713
2167;3;3;3;-1;-2;-1.041003149698355
2166;0;5;5;2;1;1.0423054746850369
2165;2;4;4;0;-1;-0.4174431843582145
2164;1;4;4;1;0;0.41796424334391347
2163;3;3;3;-1;-2;-1.046213417107726
2162;0;5;5;2;1;1.0475163871693347
2161;2;4;4;0;-1;-0.41952780742981943
2160;1;4;4;1;0;0.42004912454134136
2159;3;3;3;-1;-2;-1.0514262655357207
2158;0;5;5;2;1;1.0527298811516381
2157;2;4;4;0;-1;-0.421613463292438
2156;1;4;4;1;0;0.42213503872163827
2155;3;3;3;-1;-2;-1.0566416969006411
2154;0;5;5;2;1;1.0579459585507536
2153;2;4;4;0;-1;-0.4237001527137796
2152;1;4;4;1;0;0.4242219866527037
2151;3;3;3;-1;-2;-1.0618597131227183
2150;0;5;5;2;1;1.0631646212873775
2149;2;4;4;0;-1;-0.4257878764623122
2148;1;4;4;1;0;0.4263099691031975
2147;3;3;3;-1;-2;-1.067080316124077
2146;0;5;5;2;1;1.0683858712841108
2145;2;4;4;0;-1;-0.4278766353072676
2144;1;4;4;1;0;0.42839898684253974
2143;3;3;3;-1;-2;-1.072303507828746
2142;0;5;5;2;1;1.0736097104654583
2141;2;4;4;0;-1;-0.42996643001864143
2140;1;4;4;1;0;0.43048904064091786
2139;3;3;3;-1;-2;-1.0775292901626656
2138;0;5;5;2;1;1.0788361407578435
2137;2;4;4;0;-1;-0.4320572613671896
2136;1;4;4;1;0;0.4325801312692814
2135;3;3;3;-1;-2;-1.0827576650536876
2134;0;5;5;2;1;1.0840651640895906
2133;2;4;4;0;-1;-0.4341491301244371
2132;1;4;4;1;0;0.43467225949934196
2131;3;3;3;-1;-2;-1.0879886344315786
2130;0;5;5;2;1;1.089296782390953
2129;2;4;4;0;-1;-0.4362420370626694
2128;1;4;4;1;0;0.4367654261035838
2127;3;3;3;-1;-2;-1.0932222002280199
2126;0;5;5;2;1;1.0945309975940738
2125;2;4;4;0;-1;-0.438335982954948
2124;1;4;4;1;0;0.43885963185525156
2123;3;3;3;-1;-2;-1.0984583643766115
2122;0;5;5;2;1;1.0997678116330505
2121;2;4;4;0;-1;-0.44043096857509134
2120;1;4;4;1;0;0.4409548775283625
2119;3;3;3;-1;-2;-1.1036971288128612
2118;0;5;5;2;1;1.1050072264438704
2117;2;4;4;0;-1;-0.44252699469769397
2116;1;4;4;1;0;0.4430511638976977
2115;3;3;3;-1;-2;-1.108938495474213
2114;0;5;5;2;1;1.1102492439644571
2113;2;4;4;0;-1;-0.4446240620981161
2112;1;4;4;1;0;0.44514849173881643
2111;3;3;3;-1;-2;-1.114182466300047
2110;0;5;5;2;1;1.1154938661346598
2109;2;4;4;0;-1;-0.44672217155248894
2108;1;4;4;1;0;0.44724686182803985
2107;3;3;3;-1;-2;-1.1194290432316514
2106;0;5;5;2;1;1.1207410948962568
2105;2;4;4;0;-1;-0.4488213238377199
2104;1;4;4;1;0;0.4493462749424655
2103;3;3;3;-1;-2;-1.1246782282122467
2102;0;5;5;2;1;1.125990932192959
2101;2;4;4;0;-1;-0.450921519731482
2100;1;4;4;1;0;0.45144673185996353
2099;3;3;3;-1;-2;-1.1299300231869935
2098;0;5;5;2;1;1.1312433799704031
2097;2;4;4;0;-1;-0.4530227600122263
2096;1;4;4;1;0;0.45354823335917516
2095;3;3;3;-1;-2;-1.1351844301029814
2094;0;5;5;2;1;1.1364984401761582
2093;2;4;4;0;-1;-0.45512504545917665
2092;1;4;4;1;0;0.4556507802195213
2091;3;3;3;-1;-2;-1.1404414509092433
2090;0;5;5;2;1;1.141756114759751
2089;2;4;4;0;-1;-0.4572283768523313
2088;1;4;4;1;0;0.45775437322119394
2087;3;3;3;-1;-2;-1.1457010875567413
